 2022-03-18 at 14:33:33| INFO | log|开始读取../config/token.yaml文件
 2022-03-18 at 18:37:27| INFO | send_request|{'response_code': 200, 'response_time': 0.012708, 'response_body': '{"status":1008,"message":"客户配置异常","responseTime":1647599848290,"host":"192.168.206.106","tag":null,"logKey":"2b2f928810974c06835cd18789d87b29","data":null}'}
 2022-03-18 at 18:37:27| INFO | test_token_1008|{"status":1008,"message":"客户配置异常","responseTime":1647599848290,"host":"192.168.206.106","tag":null,"logKey":"2b2f928810974c06835cd18789d87b29","data":null}
 2022-03-18 at 18:37:27| INFO | send_request|{'response_code': 200, 'response_time': 0.014613, 'response_body': '{"status":1005,"message":"secret错误","responseTime":1647599848309,"host":"192.168.206.106","tag":null,"logKey":"3984e2d17d0448eeaffa3c5793218185","data":null}'}
 2022-03-18 at 18:37:27| INFO | test_token_1005|{"status":1005,"message":"secret错误","responseTime":1647599848309,"host":"192.168.206.106","tag":null,"logKey":"3984e2d17d0448eeaffa3c5793218185","data":null}
 2022-03-18 at 18:37:27| INFO | send_request|{'response_code': 200, 'response_time': 0.011564, 'response_body': '{"status":1005,"message":"secret错误","responseTime":1647599848332,"host":"192.168.206.106","tag":null,"logKey":"4658ba50d2b34cf9ad24fc7f1cc2ea7e","data":null}'}
 2022-03-18 at 18:38:07| INFO | send_request|{'response_code': 200, 'response_time': 0.078351, 'response_body': '{"status":0,"message":"成功","responseTime":1647599887842,"host":"192.168.206.106","tag":null,"logKey":"923f29df14db470f90e11b32f494d545","data":{"expires":1647607087840,"token":"eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjdl9vcGVuYXBpIiwiY3VzdG9tZXJfaWQiOiJVMTAwMDAyNDc4OTIiLCJpYXQiOjE2NDc1OTk4ODcsImV4cCI6MTY0NzYwNzA4N30.PKCmwg4RPajvIwabin5n3a0fOHpIW7LTgV0XbHrx1xs"}}'}
 2022-03-18 at 18:38:07| ERROR | assert_in_body|响应body对比失败,响应body为:['response_body'],断言body为:"status":0,"message":"成功"
 2022-03-18 at 18:38:07| INFO | test_token_0|{"status":0,"message":"成功","responseTime":1647599887842,"host":"192.168.206.106","tag":null,"logKey":"923f29df14db470f90e11b32f494d545","data":{"expires":1647607087840,"token":"eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjdl9vcGVuYXBpIiwiY3VzdG9tZXJfaWQiOiJVMTAwMDAyNDc4OTIiLCJpYXQiOjE2NDc1OTk4ODcsImV4cCI6MTY0NzYwNzA4N30.PKCmwg4RPajvIwabin5n3a0fOHpIW7LTgV0XbHrx1xs"}}
 2022-03-18 at 18:38:07| INFO | log|开始读取../config/token.yaml文件
 2022-03-18 at 18:38:07| INFO | test_token_0|eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjdl9vcGVuYXBpIiwiY3VzdG9tZXJfaWQiOiJVMTAwMDAyNDc4OTIiLCJpYXQiOjE2NDc1OTk4ODcsImV4cCI6MTY0NzYwNzA4N30.PKCmwg4RPajvIwabin5n3a0fOHpIW7LTgV0XbHrx1xs
 2022-03-18 at 18:38:07| INFO | send_request|{'response_code': 200, 'response_time': 0.013379, 'response_body': '{"status":1008,"message":"客户配置异常","responseTime":1647599887877,"host":"192.168.206.106","tag":null,"logKey":"9899213f6e7547948201318e06f9789e","data":null}'}
 2022-03-18 at 18:38:07| INFO | test_token_1008|{"status":1008,"message":"客户配置异常","responseTime":1647599887877,"host":"192.168.206.106","tag":null,"logKey":"9899213f6e7547948201318e06f9789e","data":null}
 2022-03-18 at 18:38:07| INFO | send_request|{'response_code': 200, 'response_time': 0.01104, 'response_body': '{"status":1005,"message":"secret错误","responseTime":1647599887895,"host":"192.168.206.106","tag":null,"logKey":"7df0e638e47541b2a42a4aa9c6703ff5","data":null}'}
 2022-03-18 at 18:38:07| INFO | test_token_1005|{"status":1005,"message":"secret错误","responseTime":1647599887895,"host":"192.168.206.106","tag":null,"logKey":"7df0e638e47541b2a42a4aa9c6703ff5","data":null}
 2022-03-18 at 18:38:07| INFO | send_request|{'response_code': 200, 'response_time': 0.020719, 'response_body': '{"status":1005,"message":"secret错误","responseTime":1647599887930,"host":"192.168.206.106","tag":null,"logKey":"031f823405c24fafb965f56de1639b1b","data":null}'}
 2022-03-18 at 18:40:25| INFO | send_request|{'response_code': 200, 'response_time': 0.118528, 'response_body': '{"status":0,"message":"成功","responseTime":1647600025581,"host":"192.168.206.106","tag":null,"logKey":"1daed97fd5f34279b091e7b527b46f2c","data":{"expires":1647607225576,"token":"eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjdl9vcGVuYXBpIiwiY3VzdG9tZXJfaWQiOiJVMTAwMDAyNDc4OTIiLCJpYXQiOjE2NDc2MDAwMjUsImV4cCI6MTY0NzYwNzIyNX0.qM-vW4a843ZTdQm0e7n99J0HFx324ssaPGYLsV6gp08"}}'}
 2022-03-18 at 18:40:25| ERROR | assert_in_body|响应body对比失败,响应body为:['response_body'],断言body为:"status":0,"message":"成功"
 2022-03-18 at 18:40:25| INFO | test_token_0|{"status":0,"message":"成功","responseTime":1647600025581,"host":"192.168.206.106","tag":null,"logKey":"1daed97fd5f34279b091e7b527b46f2c","data":{"expires":1647607225576,"token":"eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjdl9vcGVuYXBpIiwiY3VzdG9tZXJfaWQiOiJVMTAwMDAyNDc4OTIiLCJpYXQiOjE2NDc2MDAwMjUsImV4cCI6MTY0NzYwNzIyNX0.qM-vW4a843ZTdQm0e7n99J0HFx324ssaPGYLsV6gp08"}}
 2022-03-18 at 18:40:25| INFO | log|开始读取../config/token.yaml文件
 2022-03-18 at 18:40:25| INFO | test_token_0|eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjdl9vcGVuYXBpIiwiY3VzdG9tZXJfaWQiOiJVMTAwMDAyNDc4OTIiLCJpYXQiOjE2NDc2MDAwMjUsImV4cCI6MTY0NzYwNzIyNX0.qM-vW4a843ZTdQm0e7n99J0HFx324ssaPGYLsV6gp08
 2022-03-18 at 18:40:25| INFO | send_request|{'response_code': 200, 'response_time': 0.012966, 'response_body': '{"status":1005,"message":"secret错误","responseTime":1647600025611,"host":"192.168.206.106","tag":null,"logKey":"bd00810bd93a4b1fa7e274f57300ea16","data":null}'}
 2022-03-18 at 18:42:44| INFO | send_request|{'response_code': 200, 'response_time': 0.119542, 'response_body': '{"status":0,"message":"成功","responseTime":1647600164777,"host":"192.168.206.106","tag":null,"logKey":"c52307fc7fb04624a6d63c0a970ea891","data":{"expires":1647607364775,"token":"eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjdl9vcGVuYXBpIiwiY3VzdG9tZXJfaWQiOiJVMTAwMDAyNDc4OTIiLCJpYXQiOjE2NDc2MDAxNjQsImV4cCI6MTY0NzYwNzM2NH0.aIZmXF-aVpfRP186ohW2Y2NtJDKO3fpY1SIV-Z5wEO4"}}'}
 2022-03-18 at 18:42:44| ERROR | assert_in_body|响应body对比失败,响应body为:['response_body'],断言body为:"status":0,"message":"成功"
 2022-03-18 at 18:42:44| INFO | test_token_0|{"status":0,"message":"成功","responseTime":1647600164777,"host":"192.168.206.106","tag":null,"logKey":"c52307fc7fb04624a6d63c0a970ea891","data":{"expires":1647607364775,"token":"eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjdl9vcGVuYXBpIiwiY3VzdG9tZXJfaWQiOiJVMTAwMDAyNDc4OTIiLCJpYXQiOjE2NDc2MDAxNjQsImV4cCI6MTY0NzYwNzM2NH0.aIZmXF-aVpfRP186ohW2Y2NtJDKO3fpY1SIV-Z5wEO4"}}
 2022-03-18 at 18:42:44| INFO | log|开始读取../config/token.yaml文件
 2022-03-18 at 18:42:44| INFO | test_token_0|eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJjdl9vcGVuYXBpIiwiY3VzdG9tZXJfaWQiOiJVMTAwMDAyNDc4OTIiLCJpYXQiOjE2NDc2MDAxNjQsImV4cCI6MTY0NzYwNzM2NH0.aIZmXF-aVpfRP186ohW2Y2NtJDKO3fpY1SIV-Z5wEO4
 2022-03-18 at 18:42:44| INFO | send_request|{'response_code': 200, 'response_time': 0.010959, 'response_body': '{"status":1005,"message":"secret错误","responseTime":1647600164814,"host":"192.168.206.106","tag":null,"logKey":"a0940f776fd04891b67cc907ac6171d3","data":null}'}
